leagues games: 
black is 0   |   white is 1   /   Black points => 22 | White points => 42 || winner : False
black is 0   |   white is 2   /   Black points => 31 | White points => 33 || winner : False
black is 0   |   white is 3   /   Black points => 44 | White points => 20 || winner : True
black is 0   |   white is 4   /   Black points => 30 | White points => 34 || winner : False
black is 1   |   white is 0   /   Black points => 23 | White points => 41 || winner : False
black is 1   |   white is 2   /   Black points => 54 | White points => 10 || winner : True
black is 1   |   white is 3   /   Black points => 39 | White points => 25 || winner : True
black is 1   |   white is 4   /   Black points => 48 | White points => 16 || winner : True
black is 2   |   white is 0   /   Black points => 19 | White points => 45 || winner : False
black is 2   |   white is 1   /   Black points => 45 | White points => 19 || winner : True
black is 2   |   white is 3   /   Black points => 22 | White points => 42 || winner : False
black is 2   |   white is 4   /   Black points => 51 | White points => 13 || winner : True
black is 3   |   white is 0   /   Black points => 30 | White points => 34 || winner : False
black is 3   |   white is 1   /   Black points => 17 | White points => 47 || winner : False
black is 3   |   white is 2   /   Black points => 19 | White points => 45 || winner : False
black is 3   |   white is 4   /   Black points => 32 | White points => 32 || winner : NONE
black is 4   |   white is 0   /   Black points => 14 | White points => 50 || winner : False
black is 4   |   white is 1   /   Black points => 39 | White points => 25 || winner : True
black is 4   |   white is 2   /   Black points => 23 | White points => 41 || winner : False
black is 4   |   white is 3   /   Black points => 16 | White points => 48 || winner : False
