leagues games: 
black is 0   |   white is 1   /   Black points => 36 | White points => 27 || winner : True
black is 0   |   white is 2   /   Black points => 22 | White points => 42 || winner : False
black is 0   |   white is 3   /   Black points => 33 | White points => 31 || winner : True
black is 0   |   white is 4   /   Black points => 48 | White points => 16 || winner : True
black is 1   |   white is 0   /   Black points => 28 | White points => 36 || winner : False
black is 1   |   white is 2   /   Black points => 15 | White points => 49 || winner : False
black is 1   |   white is 3   /   Black points => 9 | White points => 54 || winner : False
black is 1   |   white is 4   /   Black points => 17 | White points => 47 || winner : False
black is 2   |   white is 0   /   Black points => 36 | White points => 28 || winner : True
black is 2   |   white is 1   /   Black points => 39 | White points => 25 || winner : True
black is 2   |   white is 3   /   Black points => 12 | White points => 52 || winner : False
black is 2   |   white is 4   /   Black points => 12 | White points => 52 || winner : False
black is 3   |   white is 0   /   Black points => 42 | White points => 22 || winner : True
black is 3   |   white is 1   /   Black points => 45 | White points => 19 || winner : True
black is 3   |   white is 2   /   Black points => 43 | White points => 21 || winner : True
black is 3   |   white is 4   /   Black points => 26 | White points => 38 || winner : False
black is 4   |   white is 0   /   Black points => 34 | White points => 30 || winner : True
black is 4   |   white is 1   /   Black points => 38 | White points => 26 || winner : True
black is 4   |   white is 2   /   Black points => 36 | White points => 28 || winner : True
black is 4   |   white is 3   /   Black points => 14 | White points => 50 || winner : False
