leagues games: 
black is 0   |   white is 1   /   Black points => 43 | White points => 21 || winner : True
black is 0   |   white is 2   /   Black points => 48 | White points => 16 || winner : True
black is 0   |   white is 3   /   Black points => 17 | White points => 47 || winner : False
black is 0   |   white is 4   /   Black points => 41 | White points => 23 || winner : True
black is 1   |   white is 0   /   Black points => 19 | White points => 44 || winner : False
black is 1   |   white is 2   /   Black points => 47 | White points => 17 || winner : True
black is 1   |   white is 3   /   Black points => 42 | White points => 22 || winner : True
black is 1   |   white is 4   /   Black points => 14 | White points => 50 || winner : False
black is 2   |   white is 0   /   Black points => 37 | White points => 27 || winner : True
black is 2   |   white is 1   /   Black points => 46 | White points => 18 || winner : True
black is 2   |   white is 3   /   Black points => 37 | White points => 27 || winner : True
black is 2   |   white is 4   /   Black points => 38 | White points => 26 || winner : True
black is 3   |   white is 0   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 1   /   Black points => 18 | White points => 46 || winner : False
black is 3   |   white is 2   /   Black points => 34 | White points => 30 || winner : True
black is 3   |   white is 4   /   Black points => 41 | White points => 23 || winner : True
black is 4   |   white is 0   /   Black points => 20 | White points => 44 || winner : False
black is 4   |   white is 1   /   Black points => 40 | White points => 24 || winner : True
black is 4   |   white is 2   /   Black points => 15 | White points => 0 || winner : True
black is 4   |   white is 3   /   Black points => 9 | White points => 55 || winner : False
