leagues games: 
black is 0   |   white is 1   /   Black points => 40 | White points => 24 || winner : True
black is 0   |   white is 2   /   Black points => 52 | White points => 12 || winner : True
black is 0   |   white is 3   /   Black points => 43 | White points => 21 || winner : True
black is 0   |   white is 4   /   Black points => 39 | White points => 25 || winner : True
black is 1   |   white is 0   /   Black points => 35 | White points => 29 || winner : True
black is 1   |   white is 2   /   Black points => 13 | White points => 51 || winner : False
black is 1   |   white is 3   /   Black points => 17 | White points => 0 || winner : True
black is 1   |   white is 4   /   Black points => 8 | White points => 56 || winner : False
black is 2   |   white is 0   /   Black points => 50 | White points => 14 || winner : True
black is 2   |   white is 1   /   Black points => 21 | White points => 43 || winner : False
black is 2   |   white is 3   /   Black points => 32 | White points => 32 || winner : NONE
black is 2   |   white is 4   /   Black points => 18 | White points => 46 || winner : False
black is 3   |   white is 0   /   Black points => 14 | White points => 50 || winner : False
black is 3   |   white is 1   /   Black points => 19 | White points => 45 || winner : False
black is 3   |   white is 2   /   Black points => 19 | White points => 45 || winner : False
black is 3   |   white is 4   /   Black points => 23 | White points => 41 || winner : False
black is 4   |   white is 0   /   Black points => 28 | White points => 36 || winner : False
black is 4   |   white is 1   /   Black points => 17 | White points => 47 || winner : False
black is 4   |   white is 2   /   Black points => 49 | White points => 15 || winner : True
black is 4   |   white is 3   /   Black points => 28 | White points => 36 || winner : False
