leagues games: 
black is 0   |   white is 1   /   Black points => 34 | White points => 30 || winner : True
black is 0   |   white is 2   /   Black points => 34 | White points => 30 || winner : True
black is 0   |   white is 3   /   Black points => 32 | White points => 31 || winner : True
black is 0   |   white is 4   /   Black points => 55 | White points => 9 || winner : True
black is 1   |   white is 0   /   Black points => 29 | White points => 35 || winner : False
black is 1   |   white is 2   /   Black points => 17 | White points => 47 || winner : False
black is 1   |   white is 3   /   Black points => 13 | White points => 51 || winner : False
black is 1   |   white is 4   /   Black points => 14 | White points => 50 || winner : False
black is 2   |   white is 0   /   Black points => 33 | White points => 31 || winner : True
black is 2   |   white is 1   /   Black points => 41 | White points => 23 || winner : True
black is 2   |   white is 3   /   Black points => 26 | White points => 38 || winner : False
black is 2   |   white is 4   /   Black points => 26 | White points => 38 || winner : False
black is 3   |   white is 0   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 1   /   Black points => 40 | White points => 24 || winner : True
black is 3   |   white is 2   /   Black points => 45 | White points => 19 || winner : True
black is 3   |   white is 4   /   Black points => 14 | White points => 50 || winner : False
black is 4   |   white is 0   /   Black points => 23 | White points => 41 || winner : False
black is 4   |   white is 1   /   Black points => 25 | White points => 39 || winner : False
black is 4   |   white is 2   /   Black points => 24 | White points => 40 || winner : False
black is 4   |   white is 3   /   Black points => 51 | White points => 12 || winner : True
