leagues games: 
black is 0   |   white is 1   /   Black points => 48 | White points => 16 || winner : True
black is 0   |   white is 2   /   Black points => 17 | White points => 47 || winner : False
black is 0   |   white is 3   /   Black points => 34 | White points => 30 || winner : True
black is 0   |   white is 4   /   Black points => 41 | White points => 23 || winner : True
black is 1   |   white is 0   /   Black points => 18 | White points => 46 || winner : False
black is 1   |   white is 2   /   Black points => 22 | White points => 41 || winner : False
black is 1   |   white is 3   /   Black points => 21 | White points => 43 || winner : False
black is 1   |   white is 4   /   Black points => 33 | White points => 31 || winner : True
black is 2   |   white is 0   /   Black points => 11 | White points => 53 || winner : False
black is 2   |   white is 1   /   Black points => 41 | White points => 23 || winner : True
black is 2   |   white is 3   /   Black points => 33 | White points => 31 || winner : True
black is 2   |   white is 4   /   Black points => 17 | White points => 47 || winner : False
black is 3   |   white is 0   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 1   /   Black points => 22 | White points => 42 || winner : False
black is 3   |   white is 2   /   Black points => 30 | White points => 34 || winner : False
black is 3   |   white is 4   /   Black points => 48 | White points => 16 || winner : True
black is 4   |   white is 0   /   Black points => 19 | White points => 45 || winner : False
black is 4   |   white is 1   /   Black points => 42 | White points => 22 || winner : True
black is 4   |   white is 2   /   Black points => 30 | White points => 34 || winner : False
black is 4   |   white is 3   /   Black points => 25 | White points => 39 || winner : False
