leagues games: 
black is 0   |   white is 1   /   Black points => 37 | White points => 27 || winner : True
black is 0   |   white is 2   /   Black points => 15 | White points => 49 || winner : False
black is 0   |   white is 3   /   Black points => 16 | White points => 48 || winner : False
black is 0   |   white is 4   /   Black points => 49 | White points => 15 || winner : True
black is 1   |   white is 0   /   Black points => 26 | White points => 38 || winner : False
black is 1   |   white is 2   /   Black points => 17 | White points => 0 || winner : True
black is 1   |   white is 3   /   Black points => 28 | White points => 36 || winner : False
black is 1   |   white is 4   /   Black points => 28 | White points => 36 || winner : False
black is 2   |   white is 0   /   Black points => 33 | White points => 31 || winner : True
black is 2   |   white is 1   /   Black points => 19 | White points => 45 || winner : False
black is 2   |   white is 3   /   Black points => 40 | White points => 24 || winner : True
black is 2   |   white is 4   /   Black points => 40 | White points => 24 || winner : True
black is 3   |   white is 0   /   Black points => 37 | White points => 27 || winner : True
black is 3   |   white is 1   /   Black points => 42 | White points => 22 || winner : True
black is 3   |   white is 2   /   Black points => 17 | White points => 47 || winner : False
black is 3   |   white is 4   /   Black points => 36 | White points => 28 || winner : True
black is 4   |   white is 0   /   Black points => 25 | White points => 39 || winner : False
black is 4   |   white is 1   /   Black points => 20 | White points => 44 || winner : False
black is 4   |   white is 2   /   Black points => 26 | White points => 38 || winner : False
black is 4   |   white is 3   /   Black points => 27 | White points => 37 || winner : False
