leagues games: 
black is 0   |   white is 1   /   Black points => 35 | White points => 29 || winner : True
black is 0   |   white is 2   /   Black points => 44 | White points => 20 || winner : True
black is 0   |   white is 3   /   Black points => 25 | White points => 39 || winner : False
black is 0   |   white is 4   /   Black points => 42 | White points => 22 || winner : True
black is 1   |   white is 0   /   Black points => 23 | White points => 40 || winner : False
black is 1   |   white is 2   /   Black points => 15 | White points => 49 || winner : False
black is 1   |   white is 3   /   Black points => 39 | White points => 25 || winner : True
black is 1   |   white is 4   /   Black points => 17 | White points => 47 || winner : False
black is 2   |   white is 0   /   Black points => 22 | White points => 42 || winner : False
black is 2   |   white is 1   /   Black points => 34 | White points => 30 || winner : True
black is 2   |   white is 3   /   Black points => 20 | White points => 44 || winner : False
black is 2   |   white is 4   /   Black points => 37 | White points => 27 || winner : True
black is 3   |   white is 0   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 1   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 2   /   Black points => 57 | White points => 3 || winner : True
black is 3   |   white is 4   /   Black points => 18 | White points => 46 || winner : False
black is 4   |   white is 0   /   Black points => 35 | White points => 29 || winner : True
black is 4   |   white is 1   /   Black points => 28 | White points => 36 || winner : False
black is 4   |   white is 2   /   Black points => 22 | White points => 42 || winner : False
black is 4   |   white is 3   /   Black points => 49 | White points => 15 || winner : True
