leagues games: 
black is 0   |   white is 1   /   Black points => 18 | White points => 46 || winner : False
black is 0   |   white is 2   /   Black points => 9 | White points => 54 || winner : False
black is 0   |   white is 3   /   Black points => 26 | White points => 38 || winner : False
black is 0   |   white is 4   /   Black points => 30 | White points => 34 || winner : False
black is 1   |   white is 0   /   Black points => 19 | White points => 45 || winner : False
black is 1   |   white is 2   /   Black points => 32 | White points => 32 || winner : NONE
black is 1   |   white is 3   /   Black points => 39 | White points => 25 || winner : True
black is 1   |   white is 4   /   Black points => 44 | White points => 20 || winner : True
black is 2   |   white is 0   /   Black points => 24 | White points => 40 || winner : False
black is 2   |   white is 1   /   Black points => 11 | White points => 53 || winner : False
black is 2   |   white is 3   /   Black points => 45 | White points => 19 || winner : True
black is 2   |   white is 4   /   Black points => 27 | White points => 37 || winner : False
black is 3   |   white is 0   /   Black points => 16 | White points => 48 || winner : False
black is 3   |   white is 1   /   Black points => 40 | White points => 24 || winner : True
black is 3   |   white is 2   /   Black points => 37 | White points => 27 || winner : True
black is 3   |   white is 4   /   Black points => 16 | White points => 48 || winner : False
black is 4   |   white is 0   /   Black points => 24 | White points => 40 || winner : False
black is 4   |   white is 1   /   Black points => 44 | White points => 20 || winner : True
black is 4   |   white is 2   /   Black points => 43 | White points => 21 || winner : True
black is 4   |   white is 3   /   Black points => 48 | White points => 16 || winner : True
