leagues games: 
black is 0   |   white is 1   /   Black points => 46 | White points => 18 || winner : True
black is 0   |   white is 2   /   Black points => 53 | White points => 11 || winner : True
black is 0   |   white is 3   /   Black points => 46 | White points => 18 || winner : True
black is 0   |   white is 4   /   Black points => 36 | White points => 28 || winner : True
black is 1   |   white is 0   /   Black points => 33 | White points => 31 || winner : True
black is 1   |   white is 2   /   Black points => 31 | White points => 33 || winner : False
black is 1   |   white is 3   /   Black points => 24 | White points => 40 || winner : False
black is 1   |   white is 4   /   Black points => 45 | White points => 19 || winner : True
black is 2   |   white is 0   /   Black points => 38 | White points => 26 || winner : True
black is 2   |   white is 1   /   Black points => 34 | White points => 30 || winner : True
black is 2   |   white is 3   /   Black points => 48 | White points => 16 || winner : True
black is 2   |   white is 4   /   Black points => 17 | White points => 0 || winner : True
black is 3   |   white is 0   /   Black points => 24 | White points => 40 || winner : False
black is 3   |   white is 1   /   Black points => 21 | White points => 43 || winner : False
black is 3   |   white is 2   /   Black points => 22 | White points => 42 || winner : False
black is 3   |   white is 4   /   Black points => 28 | White points => 36 || winner : False
black is 4   |   white is 0   /   Black points => 43 | White points => 21 || winner : True
black is 4   |   white is 1   /   Black points => 14 | White points => 50 || winner : False
black is 4   |   white is 2   /   Black points => 13 | White points => 51 || winner : False
black is 4   |   white is 3   /   Black points => 29 | White points => 35 || winner : False
