leagues games: 
black is 0   |   white is 1   /   Black points => 33 | White points => 31 || winner : True
black is 0   |   white is 2   /   Black points => 13 | White points => 51 || winner : False
black is 0   |   white is 3   /   Black points => 32 | White points => 32 || winner : NONE
black is 0   |   white is 4   /   Black points => 23 | White points => 41 || winner : False
black is 1   |   white is 0   /   Black points => 34 | White points => 30 || winner : True
black is 1   |   white is 2   /   Black points => 49 | White points => 15 || winner : True
black is 1   |   white is 3   /   Black points => 26 | White points => 38 || winner : False
black is 1   |   white is 4   /   Black points => 38 | White points => 26 || winner : True
black is 2   |   white is 0   /   Black points => 31 | White points => 33 || winner : False
black is 2   |   white is 1   /   Black points => 21 | White points => 43 || winner : False
black is 2   |   white is 3   /   Black points => 34 | White points => 30 || winner : True
black is 2   |   white is 4   /   Black points => 41 | White points => 23 || winner : True
black is 3   |   white is 0   /   Black points => 46 | White points => 18 || winner : True
black is 3   |   white is 1   /   Black points => 17 | White points => 47 || winner : False
black is 3   |   white is 2   /   Black points => 32 | White points => 32 || winner : NONE
black is 3   |   white is 4   /   Black points => 18 | White points => 46 || winner : False
black is 4   |   white is 0   /   Black points => 41 | White points => 23 || winner : True
black is 4   |   white is 1   /   Black points => 37 | White points => 27 || winner : True
black is 4   |   white is 2   /   Black points => 14 | White points => 50 || winner : False
black is 4   |   white is 3   /   Black points => 33 | White points => 31 || winner : True
