leagues games: 
black is 0   |   white is 1   /   Black points => 22 | White points => 42 || winner : False
black is 0   |   white is 2   /   Black points => 16 | White points => 48 || winner : False
black is 0   |   white is 3   /   Black points => 47 | White points => 17 || winner : True
black is 0   |   white is 4   /   Black points => 33 | White points => 31 || winner : True
black is 1   |   white is 0   /   Black points => 33 | White points => 31 || winner : True
black is 1   |   white is 2   /   Black points => 45 | White points => 19 || winner : True
black is 1   |   white is 3   /   Black points => 45 | White points => 19 || winner : True
black is 1   |   white is 4   /   Black points => 15 | White points => 48 || winner : False
black is 2   |   white is 0   /   Black points => 50 | White points => 14 || winner : True
black is 2   |   white is 1   /   Black points => 28 | White points => 36 || winner : False
black is 2   |   white is 3   /   Black points => 41 | White points => 23 || winner : True
black is 2   |   white is 4   /   Black points => 34 | White points => 30 || winner : True
black is 3   |   white is 0   /   Black points => 39 | White points => 25 || winner : True
black is 3   |   white is 1   /   Black points => 17 | White points => 47 || winner : False
black is 3   |   white is 2   /   Black points => 46 | White points => 18 || winner : True
black is 3   |   white is 4   /   Black points => 29 | White points => 35 || winner : False
black is 4   |   white is 0   /   Black points => 39 | White points => 25 || winner : True
black is 4   |   white is 1   /   Black points => 49 | White points => 15 || winner : True
black is 4   |   white is 2   /   Black points => 20 | White points => 44 || winner : False
black is 4   |   white is 3   /   Black points => 31 | White points => 33 || winner : False
