leagues games: 
black is 0   |   white is 1   /   Black points => 46 | White points => 18 || winner : True
black is 0   |   white is 2   /   Black points => 40 | White points => 24 || winner : True
black is 0   |   white is 3   /   Black points => 23 | White points => 41 || winner : False
black is 0   |   white is 4   /   Black points => 40 | White points => 24 || winner : True
black is 1   |   white is 0   /   Black points => 25 | White points => 39 || winner : False
black is 1   |   white is 2   /   Black points => 33 | White points => 31 || winner : True
black is 1   |   white is 3   /   Black points => 57 | White points => 6 || winner : True
black is 1   |   white is 4   /   Black points => 55 | White points => 9 || winner : True
black is 2   |   white is 0   /   Black points => 17 | White points => 0 || winner : True
black is 2   |   white is 1   /   Black points => 21 | White points => 0 || winner : True
black is 2   |   white is 3   /   Black points => 14 | White points => 50 || winner : False
black is 2   |   white is 4   /   Black points => 18 | White points => 46 || winner : False
black is 3   |   white is 0   /   Black points => 24 | White points => 40 || winner : False
black is 3   |   white is 1   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 2   /   Black points => 27 | White points => 37 || winner : False
black is 3   |   white is 4   /   Black points => 21 | White points => 43 || winner : False
black is 4   |   white is 0   /   Black points => 25 | White points => 39 || winner : False
black is 4   |   white is 1   /   Black points => 34 | White points => 30 || winner : True
black is 4   |   white is 2   /   Black points => 36 | White points => 28 || winner : True
black is 4   |   white is 3   /   Black points => 23 | White points => 41 || winner : False
