leagues games: 
black is 0   |   white is 1   /   Black points => 12 | White points => 52 || winner : False
black is 0   |   white is 2   /   Black points => 43 | White points => 21 || winner : True
black is 0   |   white is 3   /   Black points => 32 | White points => 32 || winner : NONE
black is 0   |   white is 4   /   Black points => 20 | White points => 44 || winner : False
black is 1   |   white is 0   /   Black points => 42 | White points => 22 || winner : True
black is 1   |   white is 2   /   Black points => 8 | White points => 56 || winner : False
black is 1   |   white is 3   /   Black points => 27 | White points => 37 || winner : False
black is 1   |   white is 4   /   Black points => 45 | White points => 19 || winner : True
black is 2   |   white is 0   /   Black points => 43 | White points => 21 || winner : True
black is 2   |   white is 1   /   Black points => 22 | White points => 42 || winner : False
black is 2   |   white is 3   /   Black points => 33 | White points => 30 || winner : True
black is 2   |   white is 4   /   Black points => 40 | White points => 24 || winner : True
black is 3   |   white is 0   /   Black points => 18 | White points => 46 || winner : False
black is 3   |   white is 1   /   Black points => 22 | White points => 42 || winner : False
black is 3   |   white is 2   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 4   /   Black points => 14 | White points => 50 || winner : False
black is 4   |   white is 0   /   Black points => 46 | White points => 18 || winner : True
black is 4   |   white is 1   /   Black points => 36 | White points => 28 || winner : True
black is 4   |   white is 2   /   Black points => 23 | White points => 41 || winner : False
black is 4   |   white is 3   /   Black points => 25 | White points => 39 || winner : False
