leagues games: 
black is 0   |   white is 1   /   Black points => 51 | White points => 13 || winner : True
black is 0   |   white is 2   /   Black points => 37 | White points => 27 || winner : True
black is 0   |   white is 3   /   Black points => 19 | White points => 45 || winner : False
black is 0   |   white is 4   /   Black points => 39 | White points => 25 || winner : True
black is 1   |   white is 0   /   Black points => 32 | White points => 32 || winner : NONE
black is 1   |   white is 2   /   Black points => 26 | White points => 38 || winner : False
black is 1   |   white is 3   /   Black points => 25 | White points => 39 || winner : False
black is 1   |   white is 4   /   Black points => 37 | White points => 27 || winner : True
black is 2   |   white is 0   /   Black points => 37 | White points => 27 || winner : True
black is 2   |   white is 1   /   Black points => 26 | White points => 38 || winner : False
black is 2   |   white is 3   /   Black points => 33 | White points => 31 || winner : True
black is 2   |   white is 4   /   Black points => 44 | White points => 20 || winner : True
black is 3   |   white is 0   /   Black points => 28 | White points => 36 || winner : False
black is 3   |   white is 1   /   Black points => 36 | White points => 28 || winner : True
black is 3   |   white is 2   /   Black points => 37 | White points => 27 || winner : True
black is 3   |   white is 4   /   Black points => 19 | White points => 45 || winner : False
black is 4   |   white is 0   /   Black points => 34 | White points => 30 || winner : True
black is 4   |   white is 1   /   Black points => 28 | White points => 36 || winner : False
black is 4   |   white is 2   /   Black points => 7 | White points => 57 || winner : False
black is 4   |   white is 3   /   Black points => 37 | White points => 27 || winner : True
