leagues games: 
black is 0   |   white is 1   /   Black points => 49 | White points => 15 || winner : True
black is 0   |   white is 2   /   Black points => 27 | White points => 37 || winner : False
black is 0   |   white is 3   /   Black points => 26 | White points => 38 || winner : False
black is 0   |   white is 4   /   Black points => 33 | White points => 0 || winner : True
black is 1   |   white is 0   /   Black points => 44 | White points => 20 || winner : True
black is 1   |   white is 2   /   Black points => 14 | White points => 50 || winner : False
black is 1   |   white is 3   /   Black points => 22 | White points => 42 || winner : False
black is 1   |   white is 4   /   Black points => 13 | White points => 51 || winner : False
black is 2   |   white is 0   /   Black points => 48 | White points => 16 || winner : True
black is 2   |   white is 1   /   Black points => 40 | White points => 24 || winner : True
black is 2   |   white is 3   /   Black points => 28 | White points => 36 || winner : False
black is 2   |   white is 4   /   Black points => 46 | White points => 18 || winner : True
black is 3   |   white is 0   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 1   /   Black points => 8 | White points => 56 || winner : False
black is 3   |   white is 2   /   Black points => 35 | White points => 29 || winner : True
black is 3   |   white is 4   /   Black points => 43 | White points => 21 || winner : True
black is 4   |   white is 0   /   Black points => 19 | White points => 45 || winner : False
black is 4   |   white is 1   /   Black points => 50 | White points => 14 || winner : True
black is 4   |   white is 2   /   Black points => 41 | White points => 23 || winner : True
black is 4   |   white is 3   /   Black points => 44 | White points => 20 || winner : True
