leagues games: 
black is 0   |   white is 1   /   Black points => 14 | White points => 50 || winner : False
black is 0   |   white is 2   /   Black points => 35 | White points => 29 || winner : True
black is 0   |   white is 3   /   Black points => 29 | White points => 34 || winner : False
black is 0   |   white is 4   /   Black points => 20 | White points => 44 || winner : False
black is 1   |   white is 0   /   Black points => 40 | White points => 23 || winner : True
black is 1   |   white is 2   /   Black points => 9 | White points => 55 || winner : False
black is 1   |   white is 3   /   Black points => 30 | White points => 34 || winner : False
black is 1   |   white is 4   /   Black points => 36 | White points => 28 || winner : True
black is 2   |   white is 0   /   Black points => 20 | White points => 44 || winner : False
black is 2   |   white is 1   /   Black points => 25 | White points => 39 || winner : False
black is 2   |   white is 3   /   Black points => 33 | White points => 31 || winner : True
black is 2   |   white is 4   /   Black points => 14 | White points => 50 || winner : False
black is 3   |   white is 0   /   Black points => 10 | White points => 54 || winner : False
black is 3   |   white is 1   /   Black points => 49 | White points => 15 || winner : True
black is 3   |   white is 2   /   Black points => 21 | White points => 43 || winner : False
black is 3   |   white is 4   /   Black points => 22 | White points => 42 || winner : False
black is 4   |   white is 0   /   Black points => 36 | White points => 28 || winner : True
black is 4   |   white is 1   /   Black points => 29 | White points => 35 || winner : False
black is 4   |   white is 2   /   Black points => 48 | White points => 16 || winner : True
black is 4   |   white is 3   /   Black points => 47 | White points => 17 || winner : True
