leagues games: 
black is 0   |   white is 1   /   Black points => 10 | White points => 54 || winner : False
black is 0   |   white is 2   /   Black points => 41 | White points => 23 || winner : True
black is 0   |   white is 3   /   Black points => 24 | White points => 40 || winner : False
black is 0   |   white is 4   /   Black points => 38 | White points => 26 || winner : True
black is 1   |   white is 0   /   Black points => 17 | White points => 0 || winner : True
black is 1   |   white is 2   /   Black points => 37 | White points => 27 || winner : True
black is 1   |   white is 3   /   Black points => 39 | White points => 25 || winner : True
black is 1   |   white is 4   /   Black points => 29 | White points => 35 || winner : False
black is 2   |   white is 0   /   Black points => 20 | White points => 44 || winner : False
black is 2   |   white is 1   /   Black points => 43 | White points => 21 || winner : True
black is 2   |   white is 3   /   Black points => 12 | White points => 52 || winner : False
black is 2   |   white is 4   /   Black points => 4 | White points => 59 || winner : False
black is 3   |   white is 0   /   Black points => 35 | White points => 29 || winner : True
black is 3   |   white is 1   /   Black points => 31 | White points => 33 || winner : False
black is 3   |   white is 2   /   Black points => 32 | White points => 32 || winner : NONE
black is 3   |   white is 4   /   Black points => 22 | White points => 42 || winner : False
black is 4   |   white is 0   /   Black points => 43 | White points => 21 || winner : True
black is 4   |   white is 1   /   Black points => 42 | White points => 22 || winner : True
black is 4   |   white is 2   /   Black points => 52 | White points => 12 || winner : True
black is 4   |   white is 3   /   Black points => 35 | White points => 29 || winner : True
