leagues games: 
black is 0   |   white is 1   /   Black points => 28 | White points => 36 || winner : False
black is 0   |   white is 2   /   Black points => 10 | White points => 54 || winner : False
black is 0   |   white is 3   /   Black points => 38 | White points => 26 || winner : True
black is 0   |   white is 4   /   Black points => 23 | White points => 41 || winner : False
black is 1   |   white is 0   /   Black points => 8 | White points => 56 || winner : False
black is 1   |   white is 2   /   Black points => 40 | White points => 24 || winner : True
black is 1   |   white is 3   /   Black points => 27 | White points => 37 || winner : False
black is 1   |   white is 4   /   Black points => 28 | White points => 36 || winner : False
black is 2   |   white is 0   /   Black points => 15 | White points => 49 || winner : False
black is 2   |   white is 1   /   Black points => 23 | White points => 41 || winner : False
black is 2   |   white is 3   /   Black points => 36 | White points => 28 || winner : True
black is 2   |   white is 4   /   Black points => 31 | White points => 33 || winner : False
black is 3   |   white is 0   /   Black points => 59 | White points => 5 || winner : True
black is 3   |   white is 1   /   Black points => 43 | White points => 21 || winner : True
black is 3   |   white is 2   /   Black points => 46 | White points => 18 || winner : True
black is 3   |   white is 4   /   Black points => 14 | White points => 50 || winner : False
black is 4   |   white is 0   /   Black points => 28 | White points => 36 || winner : False
black is 4   |   white is 1   /   Black points => 26 | White points => 37 || winner : False
black is 4   |   white is 2   /   Black points => 41 | White points => 23 || winner : True
black is 4   |   white is 3   /   Black points => 9 | White points => 55 || winner : False
