leagues games: 
black is 0   |   white is 1   /   Black points => 53 | White points => 11 || winner : True
black is 0   |   white is 2   /   Black points => 43 | White points => 21 || winner : True
black is 0   |   white is 3   /   Black points => 14 | White points => 50 || winner : False
black is 0   |   white is 4   /   Black points => 45 | White points => 19 || winner : True
black is 1   |   white is 0   /   Black points => 6 | White points => 58 || winner : False
black is 1   |   white is 2   /   Black points => 30 | White points => 34 || winner : False
black is 1   |   white is 3   /   Black points => 16 | White points => 48 || winner : False
black is 1   |   white is 4   /   Black points => 35 | White points => 29 || winner : True
black is 2   |   white is 0   /   Black points => 41 | White points => 23 || winner : True
black is 2   |   white is 1   /   Black points => 13 | White points => 51 || winner : False
black is 2   |   white is 3   /   Black points => 30 | White points => 34 || winner : False
black is 2   |   white is 4   /   Black points => 38 | White points => 26 || winner : True
black is 3   |   white is 0   /   Black points => 14 | White points => 50 || winner : False
black is 3   |   white is 1   /   Black points => 21 | White points => 43 || winner : False
black is 3   |   white is 2   /   Black points => 23 | White points => 41 || winner : False
black is 3   |   white is 4   /   Black points => 26 | White points => 38 || winner : False
black is 4   |   white is 0   /   Black points => 17 | White points => 0 || winner : True
black is 4   |   white is 1   /   Black points => 29 | White points => 35 || winner : False
black is 4   |   white is 2   /   Black points => 20 | White points => 44 || winner : False
black is 4   |   white is 3   /   Black points => 23 | White points => 41 || winner : False
