leagues games: 
black is 0   |   white is 1   /   Black points => 34 | White points => 30 || winner : True
black is 0   |   white is 2   /   Black points => 44 | White points => 20 || winner : True
black is 0   |   white is 3   /   Black points => 39 | White points => 25 || winner : True
black is 0   |   white is 4   /   Black points => 40 | White points => 24 || winner : True
black is 1   |   white is 0   /   Black points => 21 | White points => 43 || winner : False
black is 1   |   white is 2   /   Black points => 18 | White points => 46 || winner : False
black is 1   |   white is 3   /   Black points => 32 | White points => 32 || winner : NONE
black is 1   |   white is 4   /   Black points => 26 | White points => 38 || winner : False
black is 2   |   white is 0   /   Black points => 42 | White points => 22 || winner : True
black is 2   |   white is 1   /   Black points => 49 | White points => 15 || winner : True
black is 2   |   white is 3   /   Black points => 38 | White points => 26 || winner : True
black is 2   |   white is 4   /   Black points => 16 | White points => 48 || winner : False
black is 3   |   white is 0   /   Black points => 50 | White points => 13 || winner : True
black is 3   |   white is 1   /   Black points => 26 | White points => 38 || winner : False
black is 3   |   white is 2   /   Black points => 8 | White points => 56 || winner : False
black is 3   |   white is 4   /   Black points => 32 | White points => 32 || winner : NONE
black is 4   |   white is 0   /   Black points => 13 | White points => 51 || winner : False
black is 4   |   white is 1   /   Black points => 40 | White points => 24 || winner : True
black is 4   |   white is 2   /   Black points => 23 | White points => 41 || winner : False
black is 4   |   white is 3   /   Black points => 19 | White points => 45 || winner : False
