leagues games: 
black is 0   |   white is 1   /   Black points => 32 | White points => 32 || winner : NONE
black is 0   |   white is 2   /   Black points => 18 | White points => 45 || winner : False
black is 0   |   white is 3   /   Black points => 30 | White points => 34 || winner : False
black is 0   |   white is 4   /   Black points => 28 | White points => 36 || winner : False
black is 1   |   white is 0   /   Black points => 36 | White points => 28 || winner : True
black is 1   |   white is 2   /   Black points => 7 | White points => 57 || winner : False
black is 1   |   white is 3   /   Black points => 37 | White points => 27 || winner : True
black is 1   |   white is 4   /   Black points => 22 | White points => 42 || winner : False
black is 2   |   white is 0   /   Black points => 24 | White points => 40 || winner : False
black is 2   |   white is 1   /   Black points => 26 | White points => 35 || winner : False
black is 2   |   white is 3   /   Black points => 30 | White points => 34 || winner : False
black is 2   |   white is 4   /   Black points => 47 | White points => 17 || winner : True
black is 3   |   white is 0   /   Black points => 20 | White points => 44 || winner : False
black is 3   |   white is 1   /   Black points => 21 | White points => 43 || winner : False
black is 3   |   white is 2   /   Black points => 24 | White points => 40 || winner : False
black is 3   |   white is 4   /   Black points => 24 | White points => 40 || winner : False
black is 4   |   white is 0   /   Black points => 27 | White points => 37 || winner : False
black is 4   |   white is 1   /   Black points => 35 | White points => 29 || winner : True
black is 4   |   white is 2   /   Black points => 42 | White points => 22 || winner : True
black is 4   |   white is 3   /   Black points => 29 | White points => 35 || winner : False
